 "'AS-IS'"
 "ACTUAL"(L 5115, off 18) 
 "AGREEMENT"(L 5114, off 48) 
 "AND"(L 5114, off 17) 
 "ANYTHING"(L 4925, off 12) 
 "AUTHOR"(L 35, off 4) 
 "Additional"(L 5022, off 40) 
 "Adventure"(L 62, off 15) 
 "Age"(L 3357, off 19) 
 "Agricultural"(L 47, off 0) 
 "Along"(L 1503, off 47) 
 "Among"(L 921, off 17) 
 "Around"(L 3129, off 50) 
 "Aspens"(L 2742, off 51) 
 "Auckland"(L 74, off 31) 
 "Author"(L 11, off 0) 
 "Available"
 "BEFORE"(L 4934, off 17) 
 "BUT"(L 5134, off 54) 
 "Back"(L 1253, off 0) 
 "Berrybushes"(L 1482, off 53) 
 "Bitter"(L 3340, off 0) 
 "Black-powder"(L 863, off 9) 
 "Blowing"(L 3133, off 0) 
 "Bony"(L 827, off 49) 
 "Boulders"(L 3292, off 53) 
 "Broken"(L 55, off 4) 
 "Brownie"(L 61, off 8) 
 "CHAPTER"(L 105, off 4) 
 "CONSEQUENTIAL"(L 5115, off 44) 
 "CONTENTS"(L 102, off 0) 
 "CONTRACT"(L 5112, off 43) 
 "California"(L 49, off 42) 
 "Calvary"(L 626, off 20) 
 "Can"(L 4048, off 9) 
 "Carefully"(L 3324, off 52) 
 "Certainly"(L 4017, off 0) 
 "Character"(L 17, off 0) 
 "Check"(L 213, off 1) 
 "Chief"(L 5198, off 5) 
 "City"(L 5191, off 31) 
 "Clouds"(L 2180, off 57) 
 "Cold"(L 352, off 38) 
 "College"(L 47, off 13) 
 "Coming"(L 3331, off 25) 
 "Compliance"(L 5215, off 9) 
 "Contact"(L 5089, off 56) 
 "Contributions"(L 5184, off 31) 
 "Corps"(L 47, off 65) 
 "Couldn"(L 2942, off 1) 
 "Countless"(L 1132, off 0) 
 "Coyotes"(L 1953, off 9) 
 "Creating"(L 4912, off 0) 
 "DAMAGE"(L 5117, off 0) 
 "DIRECT"(L 5115, off 26) 
 "DISCLAIMER"(L 5105, off 26) 
 "DISTRIBUTE"(L 4934, off 28) 
 "DISTRIBUTOR"(L 5114, off 25) 
 "DONATIONS"(L 5219, off 5) 
 "Dakota"(L 45, off 33) 
 "Dang"(L 258, off 21) 
 "Date"(L 13, off 8) 
 "Death"(L 3969, off 0) 
 "Deep"(L 4229, off 0) 
 "Defect"(L 5154, off 39) 
 "Defects"(L 5099, off 1) 
 "Deliberately"(L 4117, off 12) 
 "Desperately"(L 3166, off 0) 
 "Despite"(L 5097, off 13) 
 "Did"(L 2971, off 44) 
 "Digging"(L 2215, off 0) 
 "Director"(L 5198, off 25) 
 "Dogs"(L 423, off 55) 
 "Domain"(L 5247, off 47) 
 "Doubling"(L 3065, off 36) 
 "Dust"(L 1222, off 64) 
 "EIN"(L 5182, off 35) 
 "END"(L 4899, off 4) 
 "EVEN"(L 5116, off 19) 
 "EXCEPT"(L 5112, off 52) 
 "EXPRESS"(L 5134, off 24) 
 "Each"(L 2636, off 36) 
 "Earl"(L 79, off 7) 
 "Easterner"(L 274, off 30) 
 "Eight"(L 1193, off 6) 
 "Email"(L 5192, off 21) 
 "End"(L 4896, off 0) 
 "Engelmann"(L 4391, off 32) 
 "Englemann"(L 2790, off 31) 
 "English"(L 15, off 10) 
 "Ever"(L 272, off 54) 
 "Everything"(L 792, off 14) 
 "Executive"(L 5198, off 11) 
 "Eyes"(L 59, off 11) 
 "FITNESS"(L 5135, off 33) 
 "FOUNDATION"(L 5113, off 49) 
 "Fairbanks"(L 5189, off 0) 
 "Fall"(L 2036, off 60) 
 "Fang"(L 55, off 11) 
 "Fate"(L 1699, off 59) 
 "Flight"(L 2590, off 40) 
 "Flying"(L 47, off 58) 
 "Foot"(L 3598, off 0) 
 "Four"(L 1156, off 67) 
 "Full"(L 4939, off 59) 
 "GIVE"(L 5116, off 31) 
 "GUTENBERG-tm"(L 4918, off 20) 
 "Gatos"(L 49, off 35) 
 "Get--afore"(L 857, off 6) 
 "Ghost"(L 62, off 4) 
 "Glad"(L 346, off 19) 
 "Going"(L 1365, off 21) 
 "Grass"(L 2649, off 31) 
 "Great"(L 3272, off 27) 
 "Green"(L 3472, off 46) 
 "Gregory"(L 5197, off 9) 
 "Ground"(L 775, off 29) 
 "Grunting"(L 4173, off 47) 
 "Gutenberg's"(L 1, off 9) 
 "Gutenberg-tm's"(L 5166, off 55) 
 "HAVE"(L 5111, off 26) 
 "Habit"(L 2679, off 47) 
 "Hammock"(L 79, off 12) 
 "Head"(L 1361, off 22) 
 "Heading"(L 4123, off 32) 
 "Hello"(L 4419, off 1) 
 "Helped"(L 3237, off 41) 
 "Horses"(L 923, off 53) 
 "House"(L 60, off 11) 
 "How"(L 4015, off 1) 
 "However"(L 5038, off 36) 
