 "'AS-IS'" 1 
 "----" 1 
 "--Larry" 1 
 "--at" 1 
 "--er--that" 1 
 "--rose" 1 
 "--she" 1 
 "--the" 1 
 "ACTUAL" 1 (L 9192, off 18) 
 "AGREEMENT" 1 (L 9191, off 48) 
 "ANYTHING" 1 (L 9002, off 12) 
 "ARE" 1 (L 8463, off 32) 
 "ARMS" 1 (L 53, off 20) 
 "AUTHOR" 1 (L 52, off 4) 
 "Above" 1 (L 3052, off 1) 
 "Additional" 1 (L 9099, off 40) 
 "Adirondacks" 1 (L 8830, off 24) 
 "Afloat" 1 (L 8905, off 24) 
 "Africa" 1 (L 8841, off 33) 
 "Allers" 1 (L 354, off 57) 
 "Allowin" 1 (L 607, off 1) 
 "American" 1 (L 5674, off 35) 
 "Among" 1 (L 6064, off 0) 
 "Any" 1 (L 9122, off 7) 
 "Anybody" 1 (L 1076, off 1) 
 "Anyhow" 1 (L 5979, off 1) 
 "Anything" 1 (L 7634, off 32) 
 "Anyway" 1 (L 6367, off 37) 
 "Anywhere" 1 (L 6230, off 1) 
 "Appeals" 1 (L 7415, off 12) 
 "Around" 1 (L 1599, off 6) 
 "Arriving" 1 (L 3378, off 0) 
 "Ashes" 1 (L 2403, off 14) 
 "Ashore" 1 (L 8905, off 35) 
 "Ask" 1 (L 1141, off 13) 
 "Associated" 1 (L 8639, off 50) 
 "Atlantic" 1 (L 8847, off 27) 
 "August" 1 (L 2201, off 8) 
 "Author" 1 (L 12, off 0) 
 "Aye" 1 (L 8488, off 1) 
 "BEFORE" 1 (L 9011, off 17) 
 "BOTTOM" 1 (L 6373, off 23) 
 "BOX" 1 (L 6374, off 39) 
 "BOY--WHAT" 1 (L 36, off 35) 
 "BUT" 1 (L 9211, off 54) 
 "Bad" 1 (L 5585, off 0) 
 "Balboa" 1 (L 6381, off 13) 
 "Beat" 1 (L 1366, off 1) 
 "Been" 1 (L 1359, off 41) 
 "Beg" 1 (L 4943, off 19) 
 "Being" 1 (L 2660, off 15) 
 "Bend" 1 (L 2335, off 17) 
 "Beneath" 1 (L 2402, off 30) 
 "Best" 1 (L 3789, off 14) 
 "Better" 1 (L 8428, off 1) 
 "Blows" 1 (L 2637, off 0) 
 "Boat" 1 (L 7989, off 1) 
 "Both" 1 (L 8214, off 11) 
 "Bound" 1 (L 8889, off 10) 
 "Bowery" 1 (L 5240, off 33) 
 "Bridge" 1 (L 2202, off 38) 
 "Brimming" 1 (L 8798, off 8) 
 "Bring" 1 (L 692, off 0) 
 "Brooklyn" 1 (L 2202, off 29) 
 "Buried" 1 (L 2402, off 23) 
 "Business" 1 (L 7514, off 0) 
 "CADETS" 1 (L 8896, off 20) 
 "CAMP" 1 (L 8820, off 22) 
 "CHAMPIONS" 1 (L 8888, off 20) 
 "CHATTERTON-PECK" 1 (L 67, off 4) 
 "COLLEGE" 1 (L 8796, off 22) 
 "COME" 1 (L 2250, off 31) 
 "COMPANY" 1 (L 67, off 20) 
 "CONSEQUENTIAL" 1 (L 9192, off 44) 
 "CONTENTS" 1 (L 104, off 0) 
 "CONTRACT" 1 (L 9189, off 43) 
 "COPYRIGHT" 1 (L 64, off 4) 
 "COULD" 1 (L 6373, off 33) 
 "CRYSTALS" 1 (L 52, off 25) 
 "Captain" 1 (L 8884, off 54) 
 "Care" 1 (L 8171, off 19) 
 "Cart" 1 (L 2404, off 11) 
 "Catch" 1 (L 2220, off 1) 
 "Caught" 1 (L 4516, off 0) 
 "Cave" 1 (L 8833, off 35) 
 "Certainly" 1 (L 5141, off 1) 
 "Chairs" 1 (L 713, off 11) 
 "Changes" 1 (L 8923, off 53) 
 "Character" 1 (L 18, off 0) 
 "Chase" 1 (L 8846, off 12) 
 "Chief" 1 (L 9275, off 5) 
 "Christmas" 1 (L 5821, off 56) 
 "Christopher" 1 (L 2998, off 50) 
 "Clearly" 1 (L 3977, off 0) 
 "Closer" 1 (L 8479, off 0) 
 "Cloth" 1 (L 8788, off 6) 
 "Columbus" 1 (L 6380, off 29) 
 "Coming" 1 (L 4870, off 0) 
 "Committee" 1 (L 2454, off 51) 
 "Companion" 1 (L 8860, off 0) 
 "Compliance" 1 (L 9292, off 9) 
 "Confused" 1 (L 702, off 0) 
 "Congratulations" 1 (L 8639, off 5) 
 "Contact" 1 (L 9166, off 56) 
 "Continent" 1 (L 8842, off 37) 
 "Contributions" 1 (L 9261, off 31) 
 "Cooler" 1 (L 7897, off 22) 
 "Copies" 1 (L 8631, off 32) 
 "Copyright" 1 (L 9062, off 33) 
 "Could" 1 (L 6701, off 1) 
 "Couldn" 1 (L 2068, off 1) 
 "County" 1 (L 218, off 9) 
 "Creating" 1 (L 8989, off 0) 
 "Crops" 1 (L 233, off 6) 
 "Cruise" 1 (L 8801, off 22) 
 "Crusoes" 1 (L 8825, off 14) 
 "DAMAGE" 1 (L 9194, off 0) 
 "DEAR" 1 (L 77, off 3) 
 "DIM" 1 (L 6373, off 51) 
 "DIRECT" 1 (L 9192, off 26) 
 "DISCLAIMER" 1 (L 9182, off 26) 
 "DISTRIBUTE" 1 (L 9011, off 28) 
 "DISTRIBUTOR" 1 (L 9191, off 25) 
 "DONATIONS" 1 (L 9296, off 5) 
 "DUNLAP" 1 (L 58, off 14) 
 "Dark" 1 (L 8842, off 32) 
 "Dashing" 1 (L 1155, off 59) 
 "Date" 1 (L 14, off 8) 
 "Days" 1 (L 8805, off 19) 
 "Deacon" 1 (L 7211, off 5) 
 "Dear" 1 (L 6789, off 8) 
 "Defect" 1 (L 9231, off 39) 
 "Defects" 1 (L 9176, off 1) 
 "Deserted" 1 (L 8809, off 14) 
 "Despite" 1 (L 9174, off 13) 
 "Detective" 1 (L 5832, off 58) 
 "Detectives" 1 (L 5697, off 14) 
 "Diamonds" 1 (L 6458, off 49) 
