 "'AS-IS'" 1 
 "--Accident" 1 (L 9294, off 6) 
 "--Adrift" 1 (L 9421, off 4) 
 "--Against" 1 (L 9154, off 6) 
 "--Ahead" 1 (L 9206, off 6) 
 "--All" 1 (L 9537, off 5) 
 "--Always" 1 (L 9508, off 5) 
 "--Baffled" 1 (L 9296, off 6) 
 "--Bear" 1 (L 9529, off 5) 
 "--Beyond" 1 (L 9143, off 6) 
 "--Blood" 1 (L 9035, off 5) 
 "--Both" 1 (L 9414, off 4) 
 "--Brake" 1 (L 9528, off 5) 
 "--Breaking" 1 (L 9531, off 5) 
 "--Broken" 1 (L 9019, off 5) 
 "--Brought" 1 (L 9094, off 6) 
 "--Building" 1 (L 9519, off 5) 
 "--Camp" 1 (L 9559, off 5) 
 "--Captain" 1 (L 9290, off 6) 
 "--Caught" 1 (L 9066, off 6) 
 "--Check" 1 (L 9058, off 5) 
 "--Chester" 1 (L 9406, off 4) 
 "--Circumstantial" 1 (L 9257, off 6) 
 "--Clew" 1 (L 9047, off 5) 
 "--Comrades" 1 (L 9492, off 5) 
 "--Crossed" 1 (L 9248, off 6) 
 "--Dean" 1 (L 9412, off 4) 
 "--Do" 1 (L 9429, off 4) 
 "--Doctor" 1 (L 9237, off 6) 
 "--Dr" 1 (L 9185, off 6) 
 "--Every" 1 (L 9506, off 5) 
 "--Evidence" 1 (L 9045, off 5) 
 "--Facing" 1 (L 9466, off 4) 
 "--Following" 1 (L 9202, off 6) 
 "--Freaks" 1 (L 9533, off 5) 
 "--Gideon" 1 (L 9042, off 5) 
 "--Grit" 1 (L 9407, off 4) 
 "--Hand" 1 (L 9183, off 6) 
 "--Haste" 1 (L 9512, off 5) 
 "--Heard" 1 (L 9133, off 6) 
 "--Hector" 1 (L 9428, off 4) 
 "--Helping" 1 (L 9401, off 4) 
 "--Hidden" 1 (L 9071, off 6) 
 "--His" 1 (L 9504, off 5) 
 "--Honest" 1 (L 9505, off 5) 
 "--Hounded" 1 (L 9106, off 6) 
 "--Into" 1 (L 9186, off 6) 
 "--Jack" 1 (L 9411, off 4) 
 "--Jed" 1 (L 9405, off 4) 
 "--Julius" 1 (L 9420, off 4) 
 "--Lady" 1 (L 9048, off 5) 
 "--Larry" 1 (L 9484, off 5) 
 "--Lightning" 1 (L 9525, off 5) 
 "--Little" 1 (L 9541, off 5) 
 "--Lost" 1 (L 9496, off 5) 
 "--Louis" 1 (L 9515, off 5) 
 "--Lyon" 1 (L 9520, off 5) 
 "--Make" 1 (L 9534, off 5) 
 "--Man" 1 (L 9100, off 6) 
 "--Marked" 1 (L 9175, off 6) 
 "--Millions" 1 (L 9271, off 6) 
 "--Nabob" 1 (L 9232, off 6) 
 "--Ned" 1 (L 9397, off 4) 
 "--Now" 1 (L 9538, off 5) 
 "--Oliver" 1 (L 9478, off 5) 
 "--Only" 1 (L 9404, off 4) 
 "--Outlaws" 1 (L 9015, off 5) 
 "--Over" 1 (L 8996, off 5) 
 "--Paid" 1 (L 9112, off 6) 
 "--Partners" 1 (L 9059, off 5) 
 "--Pauline--A" 1 (L 9318, off 6) 
 "--Paying" 1 (L 9029, off 5) 
 "--Phil" 1 (L 9454, off 4) 
 "--Played" 1 (L 9245, off 6) 
 "--Poor" 1 (L 9540, off 5) 
 "--Rascals" 1 (L 8973, off 5) 
 "--Reaping" 1 (L 9281, off 6) 
 "--Reuben" 1 (L 9475, off 5) 
 "--Rich" 1 (L 9509, off 5) 
 "--Richard" 1 (L 9477, off 5) 
 "--Risen" 1 (L 9440, off 4) 
 "--Royal" 1 (L 9513, off 5) 
 "--Run" 1 (L 9140, off 6) 
 "--Sam" 1 (L 9449, off 4) 
 "--Satan" 1 (L 8975, off 5) 
 "--Saved" 1 (L 9302, off 6) 
 "--Scoundrels" 1 (L 8981, off 5) 
 "--Scourged" 1 (L 8979, off 5) 
 "--Sealed" 1 (L 9010, off 5) 
 "--Seek" 1 (L 9532, off 5) 
 "--Shifting" 1 (L 9444, off 4) 
 "--Shorthand" 1 (L 9482, off 5) 
 "--Shown" 1 (L 9321, off 6) 
 "--Slow" 1 (L 9455, off 4) 
 "--Snarled" 1 (L 9051, off 5) 
 "--Stemming" 1 (L 9554, off 5) 
 "--Struggling" 1 (L 9423, off 4) 
 "--Switch" 1 (L 9527, off 5) 
 "--Talika" 1 (L 9311, off 6) 
 "--Tangled" 1 (L 9171, off 6) 
 "--Three" 1 (L 9521, off 5) 
