 "'AS-IS'" 1 
 "A--a" 1 (L 895, off 1) 
 "ACTUAL" 1 (L 4810, off 18) 
 "AGREEMENT" 1 (L 4809, off 48) 
 "ANYTHING" 1 (L 4620, off 12) 
 "Additional" 1 (L 4717, off 40) 
 "Ahead" 1 (L 3766, off 27) 
 "Also" 1 (L 3040, off 63) 
 "Angelina" 1 (L 3374, off 62) 
 "Animals" 1 
 "Anxiously" 1 (L 4046, off 11) 
 "Any" 1 (L 4740, off 7) 
 "Ask" 1 (L 1280, off 33) 
 "August" 1 (L 661, off 3) 
 "BEAR" 1 (L 1498, off 7) 
 "BEER" 1 (L 3003, off 55) 
 "BEFORE" 1 (L 4629, off 17) 
 "BOOKS" 1 (L 64, off 10) 
 "BUT" 1 (L 4829, off 54) 
 "Back" 1 (L 4418, off 54) 
 "Bear" 1 
 "Beat" 1 (L 3797, off 66) 
 "Bidding" 1 (L 4107, off 0) 
 "Blackton" 1 (L 4486, off 0) 
 "Both" 1 (L 1611, off 0) 
 "Breakfast" 1 (L 4384, off 0) 
 "Bring" 1 (L 3621, off 1) 
 "Brought" 1 (L 4249, off 1) 
 "Buddy" 1 (L 53, off 32) 
 "But--" 1 
 "CAT" 1 (L 72, off 26) 
 "CONSEQUENTIAL" 1 (L 4810, off 44) 
 "CONTENTS" 1 (L 95, off 0) 
 "CONTRACT" 1 (L 4807, off 43) 
 "COULD" 1 (L 2303, off 59) 
 "Call" 1 (L 4404, off 58) 
 "Came" 1 (L 1447, off 16) 
 "Careful" 1 (L 2037, off 56) 
 "Casting" 1 (L 3632, off 0) 
 "Cause" 1 (L 2314, off 36) 
 "Character" 1 (L 18, off 0) 
 "Charlie" 1 (L 1343, off 10) 
 "Chief" 1 (L 4893, off 5) 
 "Children" 1 (L 842, off 21) 
 "Christmas" 1 (L 930, off 28) 
 "City" 1 (L 4886, off 31) 
 "Close" 1 (L 356, off 15) 
 "Cobbler" 1 (L 2634, off 60) 
 "Coming" 1 (L 245, off 1) 
 "Compliance" 1 (L 4910, off 9) 
 "Contact" 1 (L 4784, off 56) 
 "Contributions" 1 (L 4879, off 31) 
 "Could" 1 (L 1329, off 10) 
 "Couldn" 1 (L 1326, off 1) 
 "Cows" 1 (L 1810, off 49) 
 "Creating" 1 (L 4607, off 0) 
 "Cupples" 1 (L 86, off 4) 
 "Curlytops" 1 (L 54, off 4) 
 "DAMAGE" 1 (L 4812, off 0) 
 "DELIVERED" 1 (L 2739, off 13) 
 "DIRECT" 1 (L 4810, off 26) 
 "DISCLAIMER" 1 (L 4800, off 26) 
 "DISTRIBUTE" 1 (L 4629, off 28) 
 "DISTRIBUTOR" 1 (L 4809, off 25) 
 "DOG" 1 (L 70, off 26) 
 "DONATIONS" 1 (L 4914, off 5) 
 "Darkness" 1 (L 526, off 54) 
 "Date" 1 (L 14, off 8) 
 "Defect" 1 (L 4849, off 39) 
 "Defects" 1 (L 4794, off 1) 
 "Despite" 1 (L 4792, off 13) 
 "Director" 1 (L 4893, off 25) 
 "Disappointed" 1 (L 3830, off 0) 
 "Doesn" 1 (L 2757, off 33) 
 "Dog" 1 (L 433, off 54) 
 "Dogs" 1 (L 1510, off 39) 
 "Domain" 1 (L 4942, off 47) 
 "Down" 1 (L 764, off 1) 
 "EIN" 1 (L 4877, off 35) 
 "EVEN" 1 (L 4811, off 19) 
 "EXCEPT" 1 (L 4807, off 52) 
